ERROR 2025-07-16 17:06:50,260 log 73144 6245298176 Internal Server Error: /api/places/search/
ERROR 2025-07-16 17:06:50,261 basehttp 73144 6245298176 "GET /api/places/search/?q=restaurants%20in%20san%20francisco HTTP/1.1" 500 70
INFO 2025-07-16 17:07:21,464 basehttp 73144 6245298176 "GET /api/weather/current/?lat=37.7749&lng=-122.4194 HTTP/1.1" 200 186
INFO 2025-07-16 17:07:30,721 basehttp 73144 6245298176 "GET /api/weather/forecast/?stops=[{%22latitude%22:%2037.7749,%20%22longitude%22:%20-122.4194},%20{%22latitude%22:%2037.8199,%20%22longitude%22:%20-122.4783}] HTTP/1.1" 200 16
ERROR 2025-07-16 17:07:39,199 log 73144 6245298176 Internal Server Error: /api/recommendations/
ERROR 2025-07-16 17:07:39,199 basehttp 73144 6245298176 "GET /api/recommendations/?lat=37.7749&lng=-122.4194 HTTP/1.1" 500 70
INFO 2025-07-16 17:11:15,200 autoreload 73144 8797069056 /Users/braddr/Documents/Code/Personal Projects/roadTrip_planner/backend/apps/places/views.py changed, reloading.
INFO 2025-07-16 17:11:16,518 autoreload 84376 8797069056 Watching for file changes with StatReloader
INFO 2025-07-16 17:12:55,411 autoreload 84376 8797069056 /Users/braddr/Documents/Code/Personal Projects/roadTrip_planner/backend/apps/places/views.py changed, reloading.
INFO 2025-07-16 17:12:57,007 autoreload 84782 8797069056 Watching for file changes with StatReloader
INFO 2025-07-16 17:14:28,239 autoreload 84782 8797069056 /Users/braddr/Documents/Code/Personal Projects/roadTrip_planner/backend/apps/places/views.py changed, reloading.
INFO 2025-07-16 17:14:29,526 autoreload 85009 8797069056 Watching for file changes with StatReloader
INFO 2025-07-16 17:15:55,159 autoreload 85009 8797069056 /Users/braddr/Documents/Code/Personal Projects/roadTrip_planner/backend/apps/places/views.py changed, reloading.
INFO 2025-07-16 17:15:56,163 autoreload 85300 8797069056 Watching for file changes with StatReloader
INFO 2025-07-16 17:17:12,997 autoreload 85300 8797069056 /Users/braddr/Documents/Code/Personal Projects/roadTrip_planner/backend/apps/recommendations/views.py changed, reloading.
INFO 2025-07-16 17:17:14,495 autoreload 85484 8797069056 Watching for file changes with StatReloader
WARNING 2025-07-16 17:31:56,628 views 85484 6132133888 Google Places API failed: Error 61 connecting to 127.0.0.1:6379. Connection refused.
INFO 2025-07-16 17:31:56,630 basehttp 85484 6132133888 "GET /api/places/search/?q=restaurants%20in%20san%20francisco HTTP/1.1" 200 950
INFO 2025-07-16 17:46:06,579 autoreload 92226 8797069056 Watching for file changes with StatReloader
WARNING 2025-07-16 17:46:06,768 google_places 92226 8797069056 Google Maps API key not configured
WARNING 2025-07-16 18:00:20,939 log 92226 6197964800 Unauthorized: /api/weather/current/
WARNING 2025-07-16 18:00:20,940 log 92226 6214791168 Unauthorized: /api/recommendations/
WARNING 2025-07-16 18:00:20,942 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:00:20,943 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:01:22,038 log 92226 6197964800 Unauthorized: /api/weather/current/
WARNING 2025-07-16 18:01:22,040 log 92226 6214791168 Unauthorized: /api/recommendations/
WARNING 2025-07-16 18:01:22,041 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:01:22,042 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:01:22,043 log 92226 6197964800 Unauthorized: /api/weather/current/
WARNING 2025-07-16 18:01:22,046 log 92226 6231617536 Unauthorized: /api/recommendations/
WARNING 2025-07-16 18:01:22,047 basehttp 92226 6231617536 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:01:22,050 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:01:55,628 log 92226 6197964800 Unauthorized: /api/weather/current/
WARNING 2025-07-16 18:01:55,630 log 92226 6214791168 Unauthorized: /api/recommendations/
WARNING 2025-07-16 18:01:55,631 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:01:55,632 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:01:55,636 log 92226 6231617536 Unauthorized: /api/recommendations/
WARNING 2025-07-16 18:01:55,640 log 92226 6197964800 Unauthorized: /api/weather/current/
WARNING 2025-07-16 18:01:55,642 basehttp 92226 6231617536 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:01:55,643 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:02:13,657 log 92226 6197964800 Unauthorized: /api/weather/current/
WARNING 2025-07-16 18:02:13,658 log 92226 6214791168 Unauthorized: /api/recommendations/
WARNING 2025-07-16 18:02:13,664 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:02:13,663 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:02:13,668 log 92226 6197964800 Unauthorized: /api/recommendations/
WARNING 2025-07-16 18:02:13,664 log 92226 6231617536 Unauthorized: /api/weather/current/
WARNING 2025-07-16 18:02:13,672 basehttp 92226 6197964800 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:02:13,673 basehttp 92226 6231617536 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:02:50,283 log 92226 6197964800 Unauthorized: /api/weather/current/
WARNING 2025-07-16 18:02:50,285 log 92226 6214791168 Unauthorized: /api/recommendations/
WARNING 2025-07-16 18:02:50,285 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:02:50,290 log 92226 6197964800 Unauthorized: /api/weather/current/
WARNING 2025-07-16 18:02:50,291 log 92226 6231617536 Unauthorized: /api/recommendations/
WARNING 2025-07-16 18:02:50,291 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:02:50,293 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
WARNING 2025-07-16 18:02:50,292 basehttp 92226 6231617536 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 401 58
INFO 2025-07-16 18:04:28,515 basehttp 92226 6197964800 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-07-16 18:04:29,018 basehttp 92226 6197964800 "POST /api/auth/login/ HTTP/1.1" 200 854
INFO 2025-07-16 18:04:29,088 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 191
ERROR 2025-07-16 18:04:29,089 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:04:29,089 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:04:29,090 google_places 92226 6214791168 Google Places API key not configured
INFO 2025-07-16 18:04:29,095 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
INFO 2025-07-16 18:04:29,105 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 184
ERROR 2025-07-16 18:04:29,108 google_places 92226 6231617536 Google Places API key not configured
ERROR 2025-07-16 18:04:29,108 google_places 92226 6231617536 Google Places API key not configured
ERROR 2025-07-16 18:04:29,108 google_places 92226 6231617536 Google Places API key not configured
INFO 2025-07-16 18:04:29,109 basehttp 92226 6231617536 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
INFO 2025-07-16 18:04:46,368 basehttp 92226 6197964800 "OPTIONS /api/places/search/?q=Nairobi HTTP/1.1" 200 0
ERROR 2025-07-16 18:04:46,373 google_places 92226 6197964800 Google Places API key not configured
INFO 2025-07-16 18:04:46,375 basehttp 92226 6197964800 "GET /api/places/search/?q=Nairobi HTTP/1.1" 200 825
ERROR 2025-07-16 18:06:18,962 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:06:18,963 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:06:18,963 google_places 92226 6214791168 Google Places API key not configured
INFO 2025-07-16 18:06:18,965 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
INFO 2025-07-16 18:06:18,976 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 190
INFO 2025-07-16 18:06:39,136 basehttp 92226 6197964800 "GET /api/weather/current/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 183
ERROR 2025-07-16 18:06:39,137 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:06:39,137 google_places 92226 6214791168 Google Places API key not configured
ERROR 2025-07-16 18:06:39,138 google_places 92226 6214791168 Google Places API key not configured
INFO 2025-07-16 18:06:39,139 basehttp 92226 6214791168 "GET /api/recommendations/?lat=40.7128&lng=-74.006 HTTP/1.1" 200 55
